"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","CA110357","CA114720","CA139575","CA140404","CA140705","CA140717"
"dmsA","","Dimethyl sulfoxide/trimethylamine N-oxide reductase","1","1","1","2","25","271","2","","1841","1841","1841","","CCHHBCMG_01325","","","",""
"group_2747","","hypothetical protein","1","1","1","2","24","271","1","","533","533","533","","CCHHBCMG_01326","","","",""
"group_2759","","hypothetical protein","1","1","1","3","296","247","4","","1508","1508","1508","","CCHHBCMG_01350","","","",""
"group_2760","","hypothetical protein","1","1","1","3","295","247","5","","2345","2345","2345","","CCHHBCMG_01351","","","",""
"group_2762","","Beta-lactamase OXA-133","1","1","1","3","285","10","11","","746","746","746","","CCHHBCMG_01356","","","",""
"group_2763","","hypothetical protein","1","1","1","3","284","10","10","","818","818","818","","CCHHBCMG_01357","","","",""
"group_2764","btuD_1","Vitamin B12 import ATP-binding protein BtuD","1","1","1","3","283","10","9","","872","872","872","","CCHHBCMG_01358","","","",""
"cysT","","Sulfate transport system permease protein CysT","1","1","1","3","282","10","8","","674","674","674","","CCHHBCMG_01359","","","",""
"group_2766","","hypothetical protein","1","1","1","3","281","10","7","","401","401","401","","CCHHBCMG_01360","","","",""
"group_2767","modA","Molybdate-binding protein ModA","1","1","1","3","280","10","6","","749","749","749","","CCHHBCMG_01361","","","",""
"group_2768","","hypothetical protein","1","1","1","3","279","10","5","","686","686","686","","CCHHBCMG_01362","","","",""
"group_2769","","putative protein","1","1","1","3","278","10","4","","611","611","611","","CCHHBCMG_01363","","","",""
"group_2770","bioF","8-amino-7-oxononanoate synthase","1","1","1","3","277","10","3","","1142","1142","1142","","CCHHBCMG_01364","","","",""
"group_2771","bioA","Adenosylmethionine-8-amino-7-oxononanoate aminotransferase","1","1","1","3","276","10","2","","1283","1283","1283","","CCHHBCMG_01365","","","",""
"group_28","","hypothetical protein","1","1","1","18","1","326","1","Investigate","443","443","443","","CCHHBCMG_01724","","","",""
"group_2808","","hypothetical protein","1","1","1","3","172","231","2","","632","632","632","","CCHHBCMG_01424","","","",""
"group_2831","","hypothetical protein","1","1","1","3","52","212","12","","290","290","290","","CCHHBCMG_01451","","","",""
"group_2843","","hypothetical protein","1","1","1","3","93","229","11","","533","533","533","","CCHHBCMG_01472","","","",""
"group_2844","","hypothetical protein","1","1","1","3","92","229","10","","248","248","248","","CCHHBCMG_01473","","","",""
"group_2848","","hypothetical protein","1","1","1","3","65","302","1","","227","227","227","","CCHHBCMG_01479","","","",""
"group_2849","","hypothetical protein","1","1","1","3","64","302","2","","632","632","632","","CCHHBCMG_01480","","","",""
"group_2850","","hypothetical protein","1","1","1","3","63","302","3","","416","416","416","","CCHHBCMG_01481","","","",""
"group_2858","","hypothetical protein","1","1","1","2","417","254","2","","2243","2243","2243","","CCHHBCMG_01492","","","",""
"group_2906","","hypothetical protein","1","1","1","2","525","36","9","","542","542","542","","CCHHBCMG_01574","","","",""
"group_2907","","hypothetical protein","1","1","1","2","524","36","8","","692","692","692","","CCHHBCMG_01575","","","",""
"group_2908","","hypothetical protein","1","1","1","2","523","36","7","","605","605","605","","CCHHBCMG_01576","","","",""
"group_2914","bcr","Bicyclomycin resistance protein","1","1","1","2","482","52","2","","1202","1202","1202","","CCHHBCMG_01592","","","",""
"group_2916","","hypothetical protein","1","1","1","2","486","52","21","","3776","3776","3776","","CCHHBCMG_01595","","","",""
"group_2936","ynfM","Inner membrane transport protein YnfM","1","1","1","3","429","248","7","","1136","1136","1136","","CCHHBCMG_01628","","","",""
"group_2946","","hypothetical protein","1","1","1","3","406","243","5","","617","617","617","","CCHHBCMG_01647","","","",""
"group_2947","","hypothetical protein","1","1","1","3","407","243","4","","389","389","389","","CCHHBCMG_01648","","","",""
"group_2951","","hypothetical protein","1","1","1","3","382","216","11","","149","149","149","","CCHHBCMG_01657","","","",""
"group_2965","","hypothetical protein","1","1","1","3","5","230","7","","197","197","197","","CCHHBCMG_01680","","","",""
"group_2966","","hypothetical protein","1","1","1","3","4","230","8","","323","323","323","","CCHHBCMG_01681","","","",""
"group_2967","","hypothetical protein","1","1","1","3","6","230","9","","158","158","158","","CCHHBCMG_01682","","","",""
"group_2974","pyrC_2","Dihydroorotase","1","1","1","3","345","249","5","","995","995","995","","CCHHBCMG_01694","","","",""
"group_2975","COQ5","2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial","1","1","1","3","343","249","2","","710","710","710","","CCHHBCMG_01696","","","",""
"group_2980","","hypothetical protein","1","1","1","9","6","228","7","","1793","1793","1793","","CCHHBCMG_01702","","","",""
"group_2995","","hypothetical protein","1","1","1","1","1445","162","1","","4094","4094","4094","","","HDHBLALJ_00305","","",""
"porA","","Major outer membrane protein","1","1","1","1","1858","18","20","","1298","1298","1298","","","HDHBLALJ_00689","","",""
"group_3004","","hypothetical protein","1","1","1","2","526","36","3","","605","605","605","","","HDHBLALJ_01222","","",""
"yflS_1","","Putative malate transporter YflS","1","1","1","2","475","157","1","","350","350","350","","","HDHBLALJ_01224","","",""
"group_3006","","hypothetical protein","1","1","1","2","512","35","7","","305","305","305","","","HDHBLALJ_01228","","",""
"group_3007","","hypothetical protein","1","1","1","2","488","52","16","","3809","3809","3809","","","HDHBLALJ_01241","","",""
"recD","","RecBCD enzyme subunit RecD","1","1","1","2","487","52","15","","2789","2789","2789","","","HDHBLALJ_01242","","",""
"group_3012","","hypothetical protein","1","1","1","1","2220","6","51","","2570","2570","2570","","","HDHBLALJ_01389","","",""
"group_3013","","hypothetical protein","1","1","1","1","2219","6","50","","1670","1670","1670","","","HDHBLALJ_01390","","",""
"cysQ_1","","3'(2'),5'-bisphosphate nucleotidase CysQ","1","1","1","1","2218","6","49","","326","326","326","","","HDHBLALJ_01391","","",""
"cysQ_2","","3'(2'),5'-bisphosphate nucleotidase CysQ","1","1","1","1","2217","6","48","","428","428","428","","","HDHBLALJ_01392","","",""
"cysD","","Sulfate adenylyltransferase subunit 2","1","1","1","1","2216","6","47","","893","893","893","","","HDHBLALJ_01393","","",""
"cysN","","Sulfate adenylyltransferase subunit 1","1","1","1","1","2215","6","46","","1424","1424","1424","","","HDHBLALJ_01394","","",""
"group_3018","","hypothetical protein","1","1","1","1","2214","6","45","","1715","1715","1715","","","HDHBLALJ_01395","","",""
"group_3019","cysC","Adenylyl-sulfate kinase","1","1","1","1","2213","6","44","","581","581","581","","","HDHBLALJ_01396","","",""
"group_3020","","hypothetical protein","1","1","1","2","70","63","1","","2537","2537","2537","","","HDHBLALJ_01426","","",""
"group_3021","","hypothetical protein","1","1","1","1","2019","6","1","","248","248","248","","","HDHBLALJ_01546","","",""
"group_3022","","hypothetical protein","1","1","1","1","2020","6","2","","1223","1223","1223","","","HDHBLALJ_01547","","",""
"group_3023","","hypothetical protein","1","1","1","1","2021","6","3","","2021","2021","2021","","","HDHBLALJ_01548","","",""
"arnC","","Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase","1","1","1","1","2022","6","4","","1913","1913","1913","","","HDHBLALJ_01549","","",""
"group_3025","","hypothetical protein","1","1","1","1","2023","6","5","","674","674","674","","","HDHBLALJ_01550","","",""
"rhmA","","2-keto-3-deoxy-L-rhamnonate aldolase","1","1","1","1","2024","6","6","","764","764","764","","","HDHBLALJ_01551","","",""
"group_3027","","Hydroxypyruvate reductase","1","1","1","1","2025","6","7","","953","953","953","","","HDHBLALJ_01552","","",""
"fcl","","GDP-L-fucose synthase","1","1","1","1","2026","6","8","","875","875","875","","","HDHBLALJ_01553","","",""
"kynB","","Kynurenine formamidase","1","1","1","1","2027","6","9","","671","671","671","","","HDHBLALJ_01554","","",""
"group_3030","","hypothetical protein","1","1","1","1","2028","6","10","","488","488","488","","","HDHBLALJ_01555","","",""
"group_3031","","hypothetical protein","1","1","1","1","2029","6","11","","593","593","593","","","HDHBLALJ_01556","","",""
"group_3032","","hypothetical protein","1","1","1","1","2030","6","12","","1097","1097","1097","","","HDHBLALJ_01557","","",""
"group_3033","","hypothetical protein","1","1","1","1","2031","6","13","","593","593","593","","","HDHBLALJ_01558","","",""
"group_3034","udk","Uridine kinase","1","1","1","1","2032","6","14","","1298","1298","1298","","","HDHBLALJ_01559","","",""
"group_3035","","hypothetical protein","1","1","1","1","2033","6","15","","728","728","728","","","HDHBLALJ_01560","","",""
"group_3036","fmt_1","Methionyl-tRNA formyltransferase","1","1","1","1","596","12","11","","464","464","464","","","","NFMMKAFD_00009","",""
"group_3037","","hypothetical protein","1","1","1","1","618","280","6","","572","572","572","","","","NFMMKAFD_00020","",""
"group_3038","","hypothetical protein","1","1","1","1","619","280","7","","788","788","788","","","","NFMMKAFD_00021","",""
"group_3039","","hypothetical protein","1","1","1","1","620","280","5","","998","998","998","","","","NFMMKAFD_00022","",""
"group_3040","","hypothetical protein","1","1","1","1","621","280","4","","614","614","614","","","","NFMMKAFD_00023","",""
"group_3041","","hypothetical protein","1","1","1","1","622","280","3","","224","224","224","","","","NFMMKAFD_00024","",""
"group_3042","","hypothetical protein","1","1","1","1","624","280","1","","725","725","725","","","","NFMMKAFD_00026","",""
"group_3043","","hypothetical protein","1","1","1","1","640","102","3","","791","791","791","","","","NFMMKAFD_00035","",""
"group_3044","","hypothetical protein","1","1","1","1","641","102","4","","791","791","791","","","","NFMMKAFD_00036","",""
"group_3046","porA","Major outer membrane protein","1","1","1","1","1762","213","3","","1280","1280","1280","","","","NFMMKAFD_00075","",""
"group_3047","metF","5,10-methylenetetrahydrofolate reductase","1","1","1","1","1672","286","2","","848","848","848","","","","NFMMKAFD_00130","",""
"group_3048","metE","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase","1","1","1","1","1671","286","3","","2264","2264","2264","","","","NFMMKAFD_00131","",""
"group_3049","","Membrane lipoprotein TpN32","1","1","1","1","1670","286","4","","770","770","770","","","","NFMMKAFD_00132","",""
"group_3050","","hypothetical protein","1","1","1","1","1669","286","5","","992","992","992","","","","NFMMKAFD_00133","",""
"group_3051","luxS","S-ribosylhomocysteine lyase","1","1","1","1","1668","286","1","","494","494","494","","","","NFMMKAFD_00134","",""
"group_3052","","hypothetical protein","1","1","1","1","732","73","11","","1400","1400","1400","","","","NFMMKAFD_00162","",""
"group_3053","","hypothetical protein","1","1","1","1","1621","252","5","","521","521","521","","","","NFMMKAFD_00172","",""
"group_3054","rfaF","ADP-heptose--LPS heptosyltransferase 2","1","1","1","1","1604","202","23","","959","959","959","","","","NFMMKAFD_00182","",""
"group_3055","epsJ","putative glycosyltransferase EpsJ","1","1","1","1","1603","202","24","","818","818","818","","","","NFMMKAFD_00183","",""
"htrL","","Protein HtrL","1","1","1","1","1602","202","25","","959","959","959","","","","NFMMKAFD_00184","",""
"group_3057","","hypothetical protein","1","1","1","1","1601","202","26","","956","956","956","","","","NFMMKAFD_00185","",""
"group_3058","","hypothetical protein","1","1","1","1","1600","202","27","","773","773","773","","","","NFMMKAFD_00186","",""
"group_3059","","hypothetical protein","1","1","1","1","1599","202","28","","1022","1022","1022","","","","NFMMKAFD_00187","",""
"group_3060","","hypothetical protein","1","1","1","1","1598","202","29","","1253","1253","1253","","","","NFMMKAFD_00188","",""
"fdtB","","dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose transaminase","1","1","1","1","1597","202","30","","1085","1085","1085","","","","NFMMKAFD_00189","",""
"group_3062","","hypothetical protein","1","1","1","1","1596","202","31","","1076","1076","1076","","","","NFMMKAFD_00190","",""
"group_3063","","hypothetical protein","1","1","1","1","1595","202","32","","527","527","527","","","","NFMMKAFD_00191","",""
"fdtC","","dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose 3-N-acetyltransferase","1","1","1","1","1594","202","33","","443","443","443","","","","NFMMKAFD_00192","",""
"fdtA_1","","TDP-4-oxo-6-deoxy-alpha-D-glucose-3,4-oxoisomerase","1","1","1","1","1593","202","34","","404","404","404","","","","NFMMKAFD_00193","",""
"fdtA_2","","TDP-4-oxo-6-deoxy-alpha-D-glucose-3,4-oxoisomerase","1","1","1","1","1592","202","35","","419","419","419","","","","NFMMKAFD_00194","",""
"rfbB","","dTDP-glucose 4,6-dehydratase","1","1","1","1","1591","202","22","","1031","1031","1031","","","","NFMMKAFD_00195","",""
"rfbA","","Glucose-1-phosphate thymidylyltransferase 1","1","1","1","1","1590","202","21","","878","878","878","","","","NFMMKAFD_00196","",""
"group_3069","","hypothetical protein","1","1","1","1","1589","202","20","","701","701","701","","","","NFMMKAFD_00197","",""
"group_3070","","hypothetical protein","1","1","1","1","781","8","14","","425","425","425","","","","NFMMKAFD_00267","",""
"group_3071","","hypothetical protein","1","1","1","1","1451","8","19","","1973","1973","1973","","","","NFMMKAFD_00275","",""
"group_3072","","hypothetical protein","1","1","1","1","1447","329","1","","4031","4031","4031","","","","NFMMKAFD_00279","",""
"group_3075","","hypothetical protein","1","1","1","1","414","246","2","","407","407","407","","","","NFMMKAFD_00337","",""
"group_3076","","hypothetical protein","1","1","1","1","401","241","3","","248","248","248","","","","NFMMKAFD_00345","",""
"group_3077","","hypothetical protein","1","1","1","1","369","250","6","","434","434","434","","","","NFMMKAFD_00414","",""
"era_1","","GTPase Era","1","1","1","1","343","2","7","","1118","1118","1118","","","","NFMMKAFD_00457","",""
"group_3079","","hypothetical protein","1","1","1","1","342","2","100","","170","170","170","","","","NFMMKAFD_00458","",""
"group_3080","","hypothetical protein","1","1","1","1","341","2","101","","305","305","305","","","","NFMMKAFD_00459","",""
"group_3081","folP","Bifunctional dihydropteroate synthase/dihydropteroate reductase","1","1","1","1","1828","2","8","","1142","1142","1142","","","","NFMMKAFD_00477","",""
"group_3083","","hypothetical protein","1","1","1","1","1913","235","1","","1043","1043","1043","","","","NFMMKAFD_00520","",""
"dtpT","","Di-/tripeptide transporter","1","1","1","1","1897","206","8","","1553","1553","1553","","","","NFMMKAFD_00545","",""
"group_3085","","hypothetical protein","1","1","1","1","311","206","1","","230","230","230","","","","NFMMKAFD_00546","",""
"group_3086","","hypothetical protein","1","1","1","1","312","206","2","","200","200","200","","","","NFMMKAFD_00547","",""
"dtpB","","Dipeptide and tripeptide permease B","1","1","1","1","313","206","3","","410","410","410","","","","NFMMKAFD_00548","",""
"group_3088","","hypothetical protein","1","1","1","1","306","279","4","","407","407","407","","","","NFMMKAFD_00557","",""
"group_3089","kdpB_1","Potassium-transporting ATPase ATP-binding subunit","1","1","1","1","1958","227","8","","593","593","593","","","","NFMMKAFD_00564","",""
"group_3090","","hypothetical protein","1","1","1","1","222","34","5","","530","530","530","","","","NFMMKAFD_00625","",""
"group_3091","","hypothetical protein","1","1","1","1","221","34","4","","1928","1928","1928","","","","NFMMKAFD_00626","",""
"group_3092","","hypothetical protein","1","1","1","1","220","34","3","","1442","1442","1442","","","","NFMMKAFD_00627","",""
"group_3093","","hypothetical protein","1","1","1","1","219","34","2","","935","935","935","","","","NFMMKAFD_00628","",""
"group_3094","","hypothetical protein","1","1","1","1","223","34","1","","116","116","116","","","","NFMMKAFD_00629","",""
"group_3095","","hypothetical protein","1","1","1","1","224","34","6","","236","236","236","","","","NFMMKAFD_00630","",""
"group_3096","btuB","Vitamin B12 transporter BtuB","1","1","1","2","165","218","8","","2156","2156","2156","","","","NFMMKAFD_00684","",""
"group_3097","","hypothetical protein","1","1","1","2","159","195","63","","284","284","284","","","","NFMMKAFD_00704","",""
"group_3098","","hypothetical protein","1","1","1","2","158","195","64","","1685","1685","1685","","","","NFMMKAFD_00705","",""
"group_3099","","hypothetical protein","1","1","1","2","157","195","65","","629","629","629","","","","NFMMKAFD_00706","",""
"group_3100","","hypothetical protein","1","1","1","2","156","195","38","","320","320","320","","","","NFMMKAFD_00707","",""
"group_3101","","hypothetical protein","1","1","1","2","155","195","37","","194","194","194","","","","NFMMKAFD_00708","",""
"group_3102","","hypothetical protein","1","1","1","2","154","195","36","","287","287","287","","","","NFMMKAFD_00709","",""
"dpnM","","Modification methylase DpnIIA","1","1","1","2","153","195","35","","815","815","815","","","","NFMMKAFD_00710","",""
"group_3104","","hypothetical protein","1","1","1","2","152","195","34","","488","488","488","","","","NFMMKAFD_00711","",""
"group_3105","","hypothetical protein","1","1","1","2","151","195","33","","2222","2222","2222","","","","NFMMKAFD_00712","",""
"group_3106","","hypothetical protein","1","1","1","2","150","195","32","","305","305","305","","","","NFMMKAFD_00713","",""
"group_3107","","hypothetical protein","1","1","1","2","149","195","31","","239","239","239","","","","NFMMKAFD_00714","",""
"group_3108","","hypothetical protein","1","1","1","2","148","195","30","","509","509","509","","","","NFMMKAFD_00715","",""
"group_3109","","hypothetical protein","1","1","1","2","147","195","29","","1193","1193","1193","","","","NFMMKAFD_00716","",""
"group_3110","","hypothetical protein","1","1","1","2","146","195","28","","1007","1007","1007","","","","NFMMKAFD_00717","",""
"group_3111","","hypothetical protein","1","1","1","2","145","195","27","","371","371","371","","","","NFMMKAFD_00718","",""
"group_3112","","hypothetical protein","1","1","1","2","144","195","26","","506","506","506","","","","NFMMKAFD_00719","",""
"group_3113","","hypothetical protein","1","1","1","2","143","195","25","","1031","1031","1031","","","","NFMMKAFD_00720","",""
"group_3114","","hypothetical protein","1","1","1","2","142","195","24","","620","620","620","","","","NFMMKAFD_00721","",""
"group_3115","","hypothetical protein","1","1","1","2","141","195","23","","1166","1166","1166","","","","NFMMKAFD_00722","",""
"group_3116","","hypothetical protein","1","1","1","2","140","195","22","","290","290","290","","","","NFMMKAFD_00723","",""
"group_3117","","hypothetical protein","1","1","1","2","139","195","21","","632","632","632","","","","NFMMKAFD_00724","",""
"group_3118","","hypothetical protein","1","1","1","2","138","195","20","","314","314","314","","","","NFMMKAFD_00725","",""
"group_3119","","hypothetical protein","1","1","1","2","137","195","19","","122","122","122","","","","NFMMKAFD_00726","",""
"group_3120","","hypothetical protein","1","1","1","2","136","195","18","","248","248","248","","","","NFMMKAFD_00727","",""
"group_3121","","hypothetical protein","1","1","1","2","135","195","17","","341","341","341","","","","NFMMKAFD_00728","",""
"group_3122","","hypothetical protein","1","1","1","2","134","195","16","","389","389","389","","","","NFMMKAFD_00729","",""
"group_3123","","hypothetical protein","1","1","1","2","133","195","15","","434","434","434","","","","NFMMKAFD_00730","",""
"group_3124","","hypothetical protein","1","1","1","2","132","195","14","","815","815","815","","","","NFMMKAFD_00731","",""
"group_3125","","hypothetical protein","1","1","1","2","131","195","13","","527","527","527","","","","NFMMKAFD_00732","",""
"group_3126","","hypothetical protein","1","1","1","2","102","195","12","","977","977","977","","","","NFMMKAFD_00733","",""
"group_3127","","hypothetical protein","1","1","1","2","103","195","11","","458","458","458","","","","NFMMKAFD_00734","",""
"group_3128","","hypothetical protein","1","1","1","2","104","195","10","","599","599","599","","","","NFMMKAFD_00735","",""
"group_3129","","hypothetical protein","1","1","1","2","105","195","9","","1670","1670","1670","","","","NFMMKAFD_00736","",""
"group_3130","","hypothetical protein","1","1","1","2","106","195","8","","1370","1370","1370","","","","NFMMKAFD_00737","",""
"group_3131","","hypothetical protein","1","1","1","2","107","195","7","","1235","1235","1235","","","","NFMMKAFD_00738","",""
"group_3132","","hypothetical protein","1","1","1","2","108","195","6","","374","374","374","","","","NFMMKAFD_00739","",""
"group_3133","","hypothetical protein","1","1","1","2","109","195","5","","191","191","191","","","","NFMMKAFD_00740","",""
"group_3134","","hypothetical protein","1","1","1","2","110","195","4","","977","977","977","","","","NFMMKAFD_00741","",""
"group_3135","","hypothetical protein","1","1","1","2","111","195","3","","773","773","773","","","","NFMMKAFD_00742","",""
"group_3136","","hypothetical protein","1","1","1","2","112","195","2","","203","203","203","","","","NFMMKAFD_00743","",""
"group_3137","","hypothetical protein","1","1","1","2","113","195","1","","284","284","284","","","","NFMMKAFD_00744","",""
"group_3138","","hypothetical protein","1","1","1","2","114","195","40","","107","107","107","","","","NFMMKAFD_00745","",""
"group_3139","","hypothetical protein","1","1","1","2","115","195","41","","581","581","581","","","","NFMMKAFD_00746","",""
"group_3140","","hypothetical protein","1","1","1","2","116","195","42","","275","275","275","","","","NFMMKAFD_00747","",""
"group_3141","","hypothetical protein","1","1","1","2","117","195","43","","449","449","449","","","","NFMMKAFD_00748","",""
"group_3142","","hypothetical protein","1","1","1","2","118","195","44","","692","692","692","","","","NFMMKAFD_00749","",""
"group_3143","","hypothetical protein","1","1","1","2","119","195","45","","269","269","269","","","","NFMMKAFD_00750","",""
"group_3144","","hypothetical protein","1","1","1","2","120","195","46","","962","962","962","","","","NFMMKAFD_00751","",""
"group_3145","","hypothetical protein","1","1","1","2","121","195","47","","485","485","485","","","","NFMMKAFD_00752","",""
"group_3146","","hypothetical protein","1","1","1","2","122","195","48","","341","341","341","","","","NFMMKAFD_00753","",""
"group_3147","","hypothetical protein","1","1","1","2","123","195","49","","185","185","185","","","","NFMMKAFD_00754","",""
"group_3148","","hypothetical protein","1","1","1","2","124","195","50","","191","191","191","","","","NFMMKAFD_00755","",""
"group_3149","","hypothetical protein","1","1","1","2","125","195","51","","923","923","923","","","","NFMMKAFD_00756","",""
"group_3150","","hypothetical protein","1","1","1","2","126","195","52","","2075","2075","2075","","","","NFMMKAFD_00757","",""
"group_3151","","hypothetical protein","1","1","1","2","127","195","53","","200","200","200","","","","NFMMKAFD_00758","",""
"lexA","","LexA repressor","1","1","1","2","128","195","54","","674","674","674","","","","NFMMKAFD_00759","",""
"group_3153","","hypothetical protein","1","1","1","2","129","195","55","","701","701","701","","","","NFMMKAFD_00760","",""
"group_3155","","hypothetical protein","1","1","1","2","98","283","1","","203","203","203","","","","NFMMKAFD_00789","",""
"group_3156","","hypothetical protein","1","1","1","2","377","208","10","","416","416","416","","","","NFMMKAFD_00799","",""
"group_3157","","hypothetical protein","1","1","1","2","376","208","9","","287","287","287","","","","NFMMKAFD_00800","",""
"group_3158","","hypothetical protein","1","1","1","2","375","208","8","","230","230","230","","","","NFMMKAFD_00801","",""
"group_3159","","hypothetical protein","1","1","1","2","374","208","7","","368","368","368","","","","NFMMKAFD_00802","",""
"group_3160","","hypothetical protein","1","1","1","2","373","208","6","","227","227","227","","","","NFMMKAFD_00803","",""
"group_3161","","hypothetical protein","1","1","1","2","372","208","5","","206","206","206","","","","NFMMKAFD_00804","",""
"group_3162","","hypothetical protein","1","1","1","2","371","208","4","","1193","1193","1193","","","","NFMMKAFD_00805","",""
"group_3163","","hypothetical protein","1","1","1","2","370","208","3","","1115","1115","1115","","","","NFMMKAFD_00806","",""
"group_3164","","hypothetical protein","1","1","1","2","369","208","27","","245","245","245","","","","NFMMKAFD_00807","",""
"group_3165","","hypothetical protein","1","1","1","2","368","208","28","","182","182","182","","","","NFMMKAFD_00808","",""
"group_3166","","hypothetical protein","1","1","1","2","367","208","26","","854","854","854","","","","NFMMKAFD_00809","",""
"group_3167","","hypothetical protein","1","1","1","2","366","208","25","","137","137","137","","","","NFMMKAFD_00810","",""
"group_3168","","hypothetical protein","1","1","1","2","365","208","24","","368","368","368","","","","NFMMKAFD_00811","",""
"group_3169","","hypothetical protein","1","1","1","2","364","208","23","","227","227","227","","","","NFMMKAFD_00812","",""
"group_3170","","hypothetical protein","1","1","1","2","363","208","22","","440","440","440","","","","NFMMKAFD_00813","",""
"group_3171","","hypothetical protein","1","1","1","2","362","208","21","","212","212","212","","","","NFMMKAFD_00814","",""
"xerC","","Tyrosine recombinase XerC","1","1","1","2","361","208","20","","1139","1139","1139","","","","NFMMKAFD_00815","",""
"group_3173","","hypothetical protein","1","1","1","2","65","63","9","","2597","2597","2597","","","","NFMMKAFD_00880","",""
"yagU","","Inner membrane protein YagU","1","1","1","2","47","351","1","","524","524","524","","","","NFMMKAFD_00894","",""
"group_3175","ansZ","L-asparaginase 2","1","1","1","2","28","271","4","","995","995","995","","","","NFMMKAFD_00909","",""
"group_3176","","hypothetical protein","1","1","1","1","853","198","23","","269","269","269","","","","NFMMKAFD_00978","",""
"group_3177","","hypothetical protein","1","1","1","1","854","198","30","","170","170","170","","","","NFMMKAFD_00981","",""
"group_3178","","hypothetical protein","1","1","1","1","855","198","31","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","179","179","179","","","","NFMMKAFD_00982","",""
"assT","","Arylsulfate sulfotransferase AssT","1","1","1","1","856","198","32","","365","365","365","","","","NFMMKAFD_00983","",""
"group_3180","","hypothetical protein","1","1","1","1","857","198","33","","179","179","179","","","","NFMMKAFD_00984","",""
"group_3181","dsbI","Protein-disulfide oxidoreductase DsbI","1","1","1","1","858","198","34","","785","785","785","","","","NFMMKAFD_00985","",""
"group_3182","","hypothetical protein","1","1","1","1","859","198","13","","362","362","362","","","","NFMMKAFD_00990","",""
"group_3183","moeA_1","Molybdopterin molybdenumtransferase","1","1","1","1","1064","198","11","","1160","1160","1160","","","","NFMMKAFD_00992","",""
"group_3184","","hypothetical protein","1","1","1","1","1057","198","2","","2096","2096","2096","","","","NFMMKAFD_01000","",""
"group_3185","","hypothetical protein","1","1","1","1","1024","23","10","","1322","1322","1322","","","","NFMMKAFD_01032","",""
"group_3188","","hypothetical protein","1","1","1","1","893","207","8","","1334","1334","1334","","","","NFMMKAFD_01052","",""
"group_3189","hisS","Histidine--tRNA ligase","1","1","1","1","915","214","14","","1226","1226","1226","","","","NFMMKAFD_01081","",""
"group_3190","","hypothetical protein","1","1","1","1","934","255","5","","2915","2915","2915","","","","NFMMKAFD_01087","",""
"group_3191","","hypothetical protein","1","1","1","1","933","255","6","","1874","1874","1874","","","","NFMMKAFD_01088","",""
"group_3192","","hypothetical protein","1","1","1","1","930","255","7","","1298","1298","1298","","","","NFMMKAFD_01089","",""
"group_3193","","hypothetical protein","1","1","1","1","931","255","8","","1910","1910","1910","","","","NFMMKAFD_01090","",""
"group_3194","","hypothetical protein","1","1","1","1","922","74","7","","251","251","251","","","","NFMMKAFD_01097","",""
"group_3195","","hypothetical protein","1","1","1","3","80","307","1","","533","533","533","","","","NFMMKAFD_01104","",""
"group_3196","","hypothetical protein","1","1","1","3","81","307","2","","260","260","260","","","","NFMMKAFD_01105","",""
"group_3197","","hypothetical protein","1","1","1","3","82","307","3","","419","419","419","","","","NFMMKAFD_01106","",""
"group_3198","","hypothetical protein","1","1","1","3","91","229","8","","695","695","695","","","","NFMMKAFD_01112","",""
"group_3199","","hypothetical protein","1","1","1","3","126","212","13","","290","290","290","","","","NFMMKAFD_01133","",""
"group_3200","","hypothetical protein","1","1","1","3","171","231","3","","632","632","632","","","","NFMMKAFD_01160","",""
"ydfJ_1","","Putative transporter YdfJ","1","1","1","3","36","272","3","","326","326","326","","","","NFMMKAFD_01187","",""
"group_3202","","hypothetical protein","1","1","1","3","26","247","7","","2345","2345","2345","","","","NFMMKAFD_01238","",""
"group_3203","","hypothetical protein","1","1","1","3","27","247","8","","926","926","926","","","","NFMMKAFD_01239","",""
"group_3204","","hypothetical protein","1","1","1","3","28","247","9","","236","236","236","","","","NFMMKAFD_01240","",""
"group_3205","","hypothetical protein","1","1","1","3","29","247","10","","1670","1670","1670","","","","NFMMKAFD_01241","",""
"group_3206","","hypothetical protein","1","1","1","1","203","4","37","","293","293","293","","","","NFMMKAFD_01265","",""
"fabG_2","","3-oxoacyl-[acyl-carrier-protein] reductase FabG","1","1","1","1","204","4","38","","731","731","731","","","","NFMMKAFD_01266","",""
"menE","","2-succinylbenzoate--CoA ligase","1","1","1","1","205","4","39","","1352","1352","1352","","","","NFMMKAFD_01267","",""
"group_3209","","hypothetical protein","1","1","1","1","206","4","40","","1451","1451","1451","","","","NFMMKAFD_01268","",""
"group_3210","","hypothetical protein","1","1","1","1","207","4","41","","2414","2414","2414","","","","NFMMKAFD_01269","",""
